PROVINCE_NAME,DISTRICT_NAME,LOCATION_ID
Eastern,Batticaloa,49679
North Western,Kurunegala,49750
North Western,Kurunegala,49760
North Western,Kurunegala,49777
North Western,Puttalam,49968
Central,Matale,50053
Eastern,Ampara,50103
Eastern,Batticaloa,50180
North Western,Kurunegala,50285
Eastern,Batticaloa,50430
North Western,Puttalam,50470
North Western,Kurunegala,50494
North Western,Kurunegala,50511
North Western,Kurunegala,50549
Eastern,Batticaloa,50680
Eastern,Batticaloa,50682
North Western,Puttalam,50731
Central,Matale,50812
North Central,Polonnaruwa,50872
North Western,Kurunegala,51029
North Western,Kurunegala,51046
Central,Matale,51053
Central,Matale,51056
Eastern,Batticaloa,51162
Eastern,Batticaloa,51177
Eastern,Batticaloa,51182
North Western,Puttalam,51228
North Western,Kurunegala,51258
Eastern,Batticaloa,51430
Eastern,Batticaloa,51431
Eastern,Batticaloa,51432
North Western,Kurunegala,51520
Eastern,Batticaloa,51681
Eastern,Batticaloa,51682
North Western,Puttalam,51725
North Western,Kurunegala,51790
North Central,Polonnaruwa,51832
North Central,Polonnaruwa,51857
Eastern,Batticaloa,51931
Eastern,Batticaloa,51932
North Western,Puttalam,51986
North Western,Kurunegala,52003
Eastern,Batticaloa,52182
North Western,Puttalam,52244
North Western,Kurunegala,52259
North Western,Kurunegala,52280
Central,Matale,52319
North Western,Puttalam,52473
North Western,Kurunegala,52518
North Central,Polonnaruwa,52631
Eastern,Batticaloa,52679
North Western,Puttalam,52729
Central,Matale,52811
North Western,Puttalam,52983
North Western,Puttalam,52988
North Western,Puttalam,52993
North Western,Kurunegala,53000
North Western,Kurunegala,53016
